,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
381,2014 Honda City i DTEC V,2014,Third Party insurance,Diesel,5,80000,1498 cc,2014,Power Steering,1498,986,986,200,4.75
382,2014 Maruti Wagon R LXI BS IV,Mar-14,Third Party,Petrol,5,42346,Second Owner,Manual,2014,20.51,998,998,6704,3.01
383,2020 Honda City i-VTEC CVT VX,Aug-20,Comprehensive,Petrol,5,31120,First Owner,Automatic,2020,18,1497,1497,1176,11.5
384,2014 Hyundai Verna 1.6 SX CRDI (O) AT,2014,Third Party insurance,Diesel,5,100000,First Owner,Automatic,2014,22.32,1582,1582,12632,3.95
385,2018 Toyota Yaris J CVT BSIV,2018,Third Party insurance,Petrol,5,33500,First Owner,Automatic,2018,17.8,1496,1496,1055,7.5
386,2015 Hyundai Grand i10 Magna CNG,Oct-15,Comprehensive,CNG,5,64000,First Owner,Manual,2015,1197,82,82,114,4.25
387,2011 Honda City 1.5 S MT,2011,Third Party insurance,Petrol,5,110000,1497 cc,2011,Power Steering,1497,1186600,1186600,1464800,3.5
388,2022 BMW 7 Series 740Li M Sport,Oct-22,Comprehensive,Petrol,4,4000,First Owner,Automatic,2022,11.86,2998,2998,33525,1.25
389,2011 Maruti A-Star Zxi,May-12,Comprehensive,Petrol,5,48936,Second Owner,Manual,2011,19,998,998,661,2.34
390,2019 Mitsubishi Outlander 2.4 CVT,Mar-19,Comprehensive,Petrol,7,23000,Second Owner,Automatic,2019,10.2,2360,2360,16494,19.5
391,2017 Maruti Baleno 1.2 Zeta,Sep-17,Comprehensive,Petrol,5,61814,First Owner,Manual,2017,21.4,1197,1197,831,5.27
392,2019 BMW X5 xDrive 30d xLine,Jan-19,Zero Dep,Diesel,5,62000,Second Owner,Automatic,2019,13.38,2993,2993,26150,47.98
393,2017 Volkswagen Polo GT TSI Sport Edition,2017,Third Party insurance,Petrol,5,40000,First Owner,Automatic,2017,17.21,1197,1197,1035,10
394,2020 Hyundai Venue SX Turbo,Dec-20,Comprehensive,Petrol,5,30200,First Owner,Manual,2020,18.27,998,998,11835,9.25
395,2020 Skoda Superb LK 1.8 TSI AT,Aug-20,Third Party insurance,Petrol,5,34123,First Owner,Automatic,2020,14.67,1798,1798,17746,30.5
396,2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,May-22,Comprehensive,Petrol,5,16000,First Owner,Automatic,2022,2996,38487,38487,520,83
397,2018 Maruti Vitara Brezza ZDi Plus Dual Tone,Oct-18,Comprehensive,Diesel,5,28645,First Owner,Manual,2018,24.3,1248,1248,885,7.71
398,2015 Audi A4 35 TDI Premium,Mar-15,Comprehensive,Diesel,5,48933,Second Owner,Automatic,2015,17.11,1968,1968,17433,15.75
399,2016 Hyundai Creta 1.6 VTVT AT SX Plus,May-16,Comprehensive,Petrol,5,60970,First Owner,Automatic,2016,13,1591,1591,1213,9.4
400,2017 Hyundai Creta 1.6 VTVT AT SX Plus,2017,Third Party insurance,Petrol,5,50000,First Owner,Automatic,2017,13,1591,1591,1213,7.75
401,2018 Toyota Fortuner 2.8 4WD MT,Mar-18,Third Party insurance,Diesel,7,56000,First Owner,Manual,2018,14.24,2755,2755,1745,27.5
402,2018 Hyundai Grand i10 1.2 Kappa Asta,Jul-18,Comprehensive,Petrol,5,40427,First Owner,Manual,2018,18.9,1197,1197,8186,5.36
403,2019 Maruti Ciaz 1.4 Delta,Sep-19,Third Party insurance,Petrol,5,54213,First Owner,Manual,2019,20.73,1373,1373,911,7.9
404,2021 Ford Endeavour Titanium Plus 4X4 AT,2021,Third Party insurance,Diesel,7,20000,1996 cc,2021,Power Steering,1996,16762,16762,420,32
405,2011 Toyota Corolla Altis G,May-11,Third Party insurance,Petrol,5,85000,Second Owner,Manual,2011,14.53,1798,1798,1381,2.75
406,2016 Toyota Innova Crysta 2.4 G MT 8 STR,Oct-16,Comprehensive,Diesel,8,91000,Second Owner,Manual,2016,13.68,2393,2393,14751,12
407,2016 Hyundai Grand i10 Sportz,Oct-16,Third Party insurance,Petrol,5,47000,First Owner,Manual,2016,18.9,1197,1197,82,3.85
408,2015 Honda City i VTEC CVT VX,Sep-15,Comprehensive,Petrol,5,54630,First Owner,Automatic,2015,18,1497,1497,1173,6.86
409,2015 Audi Q7 45 TDI Quattro Technology,Mar-16,Comprehensive,Diesel,7,72222,Second Owner,Automatic,2015,14.75,2967,2967,245,34.9
410,2019 Honda City i-VTEC CVT ZX,Mar-20,Comprehensive,Petrol,5,41116,First Owner,Automatic,2019,18,1497,1497,1176,10.39
411,2019 Land Rover Range Rover Sport 2.0 Petrol SE,Feb-19,Zero Dep,Petrol,5,4000,First Owner,Automatic,2019,12.65,1997,1997,29636,1.1
412,2017 Jaguar XJ 2.0L Portfolio,Aug-17,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999,1999,2374,69
413,2021 Tata Altroz XZ Plus BSVI,Jan-23,Comprehensive,Petrol,5,29502,First Owner,Manual,2021,19.33,1199,1199,8683,7.56
414,2014 BMW X5 xDrive 30d M Sport,Jan-14,Comprehensive,Diesel,5,132501,First Owner,Automatic,2014,15.97,2993,2993,258,12.21
415,2017 Mercedes-Benz E-Class E250 CDI Avantgarde,May-17,Comprehensive,Diesel,5,35000,First Owner,Automatic,2017,13,2143,2143,204,23.9
416,2017 Honda WR-V i-DTEC VX,Oct-17,Comprehensive,Diesel,5,56458,Second Owner,Manual,2017,25.5,1498,1498,986,5.71
417,2018 Maruti Ciaz 1.4 AT Alpha,Sep-18,Comprehensive,Petrol,5,50000,First Owner,Automatic,2018,19.12,1373,1373,911,7.25
418,2018 Maruti Baleno 1.2 Zeta,Aug-18,Comprehensive,Petrol,5,61657,First Owner,Manual,2018,21.4,1197,1197,831,5.93
419,2016 Honda City i VTEC CVT VX,2016,Third Party insurance,Petrol,5,50000,First Owner,Automatic,2016,18,1497,1497,1173,6.5
420,2017 Maruti Ciaz 1.4 Zeta,Oct-17,Third Party insurance,Petrol,5,67000,First Owner,Manual,2017,20.73,1373,1373,911,6.25
421,2016 Hyundai i20 Sportz 1.2,Jan-16,Comprehensive,Petrol,5,104948,First Owner,Manual,2016,18.6,1197,1197,8183,4.61
422,2017 Jaguar XJ 2.0L Portfolio,Sep-17,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999,1999,2374,52
423,2023 Kia Seltos HTK Plus,2023,Third Party insurance,Petrol,5,10000,First Owner,Manual,2023,17,1497,1497,11342,15.21
424,2014 Mercedes-Benz M-Class ML 350 CDI,Mar-14,Comprehensive,Diesel,5,154000,Second Owner,Automatic,2014,11.74,2987,2987,2548,17.5
425,2016 Toyota Camry 2.5 Hybrid,Sep-16,Comprehensive,Petrol,5,46000,First Owner,Automatic,2016,19.16,2494,2494,1577,20.5
426,2015 Honda City i VTEC E,Jun-15,Comprehensive,Petrol,5,90000,First Owner,Manual,2015,1497,1173,1173,145,5.65
427,2016 Hyundai Grand i10 Sportz,Oct-16,Third Party insurance,Petrol,5,47000,First Owner,Manual,2016,18.9,1197,1197,82,3.85
428,2015 Honda City i VTEC CVT VX,Sep-15,Comprehensive,Petrol,5,54630,First Owner,Automatic,2015,18,1497,1497,1173,6.86
429,2015 Audi Q7 45 TDI Quattro Technology,Mar-16,Comprehensive,Diesel,7,72222,Second Owner,Automatic,2015,14.75,2967,2967,245,34.9
430,2019 Honda City i-VTEC CVT ZX,Mar-20,Comprehensive,Petrol,5,41116,First Owner,Automatic,2019,18,1497,1497,1176,10.39
431,2019 Land Rover Range Rover Sport 2.0 Petrol SE,Feb-19,Zero Dep,Petrol,5,4000,First Owner,Automatic,2019,12.65,1997,1997,29636,1.1
432,2017 Jaguar XJ 2.0L Portfolio,Aug-17,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999,1999,2374,69
433,2021 Tata Altroz XZ Plus BSVI,Jan-23,Comprehensive,Petrol,5,29502,First Owner,Manual,2021,19.33,1199,1199,8683,7.56
434,2014 BMW X5 xDrive 30d M Sport,Jan-14,Comprehensive,Diesel,5,132501,First Owner,Automatic,2014,15.97,2993,2993,258,12.21
435,2017 Mercedes-Benz E-Class E250 CDI Avantgarde,May-17,Comprehensive,Diesel,5,35000,First Owner,Automatic,2017,13,2143,2143,204,23.9
436,2017 Honda WR-V i-DTEC VX,Oct-17,Comprehensive,Diesel,5,56458,Second Owner,Manual,2017,25.5,1498,1498,986,5.71
437,2018 Maruti Ciaz 1.4 AT Alpha,Sep-18,Comprehensive,Petrol,5,50000,First Owner,Automatic,2018,19.12,1373,1373,911,7.25
438,2018 Maruti Baleno 1.2 Zeta,Aug-18,Comprehensive,Petrol,5,61657,First Owner,Manual,2018,21.4,1197,1197,831,5.93
439,2016 Honda City i VTEC CVT VX,2016,Third Party insurance,Petrol,5,50000,First Owner,Automatic,2016,18,1497,1497,1173,6.5
440,2017 Maruti Ciaz 1.4 Zeta,Oct-17,Third Party insurance,Petrol,5,67000,First Owner,Manual,2017,20.73,1373,1373,911,6.25
441,2016 Hyundai i20 Sportz 1.2,Jan-16,Comprehensive,Petrol,5,104948,First Owner,Manual,2016,18.6,1197,1197,8183,4.61
442,2017 Jaguar XJ 2.0L Portfolio,Sep-17,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999,1999,2374,52
443,2023 Kia Seltos HTK Plus,2023,Third Party insurance,Petrol,5,10000,First Owner,Manual,2023,17,1497,1497,11342,15.21
444,2014 Mercedes-Benz M-Class ML 350 CDI,Mar-14,Comprehensive,Diesel,5,154000,Second Owner,Automatic,2014,11.74,2987,2987,2548,17.5
445,2016 Toyota Camry 2.5 Hybrid,Sep-16,Comprehensive,Petrol,5,46000,First Owner,Automatic,2016,19.16,2494,2494,1577,20.5
446,2015 Honda City i VTEC E,Jun-15,Comprehensive,Petrol,5,90000,First Owner,Manual,2015,1497,1173,1173,145,5.65
447,2020 Audi A3 35 TDI Premium Plus,Jan-20,Comprehensive,Diesel,5,39000,Second Owner,Automatic,2020,20.38,1968,1968,143,22.5
448,2017 Hyundai Creta 1.6 VTVT AT SX Plus,Aug-17,Comprehensive,Petrol,5,64727,First Owner,Automatic,2017,13,1591,1591,1213,9.87
449,2018 Hyundai i20 Active 1.4 S,Sep-18,Third Party insurance,Diesel,5,65000,First Owner,Manual,2018,21.19,1396,1396,8873,6.5
450,2013 Honda Brio S MT,Feb-13,Third Party,Petrol,5,44636,Second Owner,Manual,2013,19.4,1198,1198,868,2.63
451,2015 Toyota Fortuner 4x2 AT,Aug-15,Comprehensive,Diesel,7,100000,Second Owner,Automatic,2015,12.55,2982,2982,1685,15.5
452,2021 Mercedes-Benz C-Class Progressive C 220d,Aug-21,Zero Dep,Diesel,5,23616,First Owner,Automatic,2021,12.6,1950,1950,194,43.9
453,2014 Hyundai Xcent 1.2 Kappa S,Sep-14,Comprehensive,Petrol,5,107682,First Owner,Manual,2014,19.1,1197,1197,82,3.39
454,2022 Mercedes-Benz AMG GLA 35 4MATIC,Aug-22,Third Party,Petrol,5,9500,First Owner,Automatic,2022,1991,30173,30173,400,56.5
455,2019 Land Rover Discovery Sport Petrol HSE 7S,Jun-19,Comprehensive,Petrol,7,47500,First Owner,Automatic,2019,12.81,1997,1997,23736,43
456,2011 Volkswagen Polo Petrol Highline 1.2L,Aug-11,Comprehensive,Petrol,5,101914,Second Owner,Manual,2011,16.47,1198,1198,739,2.59
457,2023 Hyundai Grand i10 Nios Magna BSVI,Apr-23,Comprehensive,Petrol,5,620,First Owner,Manual,2023,1197,8180,8180,1138,6.65
458,2019 Maruti Baleno Alpha,Mar-19,Comprehensive,Petrol,5,45507,First Owner,Manual,2019,21.01,1197,1197,8180,6.49
459,2015 Audi A8 L 3.0 TDI quattro,Jul-15,Comprehensive,Diesel,4,58000,First Owner,Automatic,2015,16.77,2967,2967,24674,29.75
460,2022 Mercedes-Benz S-Class S 350d BSVI,Oct-22,Comprehensive,Diesel,5,7000,First Owner,Automatic,2022,2925,28161,28161,600,1.55
461,2015 Ford Ecosport 1.5 Ti VCT AT Titanium,Mar-15,Comprehensive,Petrol,5,74095,Second Owner,Automatic,2015,16.5,1499,1499,110,5.37
462,2022 BMW X3 xDrive30i M Sport,Feb-22,Zero Dep,Petrol,5,8450,First Owner,Automatic,2022,19,5,5,,71.9
463,2018 Mercedes-Benz S-Class Maybach S500,Jul-18,Comprehensive,Petrol,4,40000,First Owner,Automatic,2018,7.81,4663,4663,459,1.09
464,2010 Maruti Alto 800 LXi BSIII,Oct-10,Comprehensive,Petrol,5,77684,Second Owner,Manual,2010,796,463,463,62,1.54
465,2021 Audi Q5 Technology BSVI,Jan-22,Third Party insurance,Petrol,5,22900,First Owner,Automatic,2021,13.47,1984,1984,24559,54.8
466,2022 Mercedes-Benz A-Class Limousine A 200d BSVI,2022,Third Party insurance,Diesel,5,10000,1950 cc,2022,Power Steering,147.51,320,320,17,42
467,2022 Mercedes-Benz GLS 400d 4MATIC,Dec-22,Comprehensive,Diesel,7,19000,Second Owner,Automatic,2022,2925,3.25864E+12,3.25864E+12,700,1.15
468,2014 Hyundai Grand i10 Sportz,Jun-14,Comprehensive,Petrol,5,74846,Second Owner,Manual,2014,18.9,1197,1197,82,3.1
469,2022 Toyota Glanza S,Nov-22,Comprehensive,Petrol,5,4500,First Owner,Manual,2022,22.35,1197,1197,8850,7.55
470,2012 Hyundai i20 Magna,Feb-12,Comprehensive,Petrol,5,97722,Third Owner,Manual,2012,18.5,1197,1197,805200,2.27
471,2023 Jeep Wrangler Rubicon,Feb-23,Third Party insurance,Petrol,5,9000,First Owner,Automatic,2023,12.1,1998,1998,26530,70
472,2020 Mercedes-Benz AMG GLE 53 Coupe,Feb-20,Third Party,Petrol,5,19000,First Owner,Automatic,2020,8.9,2999,2999,435,78.99
473,2015 Honda City i VTEC CVT VX,Nov-15,Comprehensive,Petrol,5,79683,First Owner,Automatic,2015,18,1497,1497,1173,6.35
474,2022 Maruti Swift Dzire VXI AT,Jul-22,Comprehensive,Petrol,5,26000,First Owner,Automatic,2022,22.61,1197,1197,8850,7.95
475,2016 BMW X1 sDrive 20d xLine,Jul-16,Third Party insurance,Diesel,5,70000,Second Owner,Automatic,2016,20.68,1995,1995,188,15.5
476,2019 Kia Seltos GTX Plus DCT,Nov-19,Comprehensive,Petrol,5,85540,First Owner,Automatic,2019,16.5,1353,1353,13808,13.86
477,2023 Mahindra XUV300 W6 Turbo,2023,Third Party insurance,Petrol,5,10000,First Owner,Manual,2023,1197,12873,12873,230,11.7
478,2019 Maruti Baleno Alpha,Mar-19,Comprehensive,Petrol,5,50170,First Owner,Manual,2019,21.01,1197,1197,8180,6.87
479,2020 BMW X7 xDrive30d DPE Signature,Jul-20,Comprehensive,Diesel,7,44000,First Owner,Automatic,2020,13.38,2993,2993,26150,98.5
480,2022 Mercedes-Benz C-Class Progressive C 220d,Dec-22,Comprehensive,Diesel,5,4000,First Owner,Automatic,2022,12.6,1950,1950,194,56.75
481,2015 Maruti Wagon R VXi BSII,Aug-15,Comprehensive,Petrol,5,37163,Second Owner,Manual,2015,998,671,671,90,3.18
482,2022 MG Hector Sharp CVT,Jul-22,Third Party insurance,Petrol,5,21003,First Owner,Automatic,2022,1451,141,141,250,18.75
483,2018 BMW X3 xDrive 20d Luxury Line,Aug-18,Comprehensive,Diesel,5,49000,First Owner,Automatic,2018,16.55,1995,1995,1877,39
484,2011 Maruti A-Star AT VXI,Jun-11,Comprehensive,Petrol,5,89057,Second Owner,Automatic,2011,16.98,998,998,661,2.26
485,2021 Mercedes-Benz C-Class Progressive C 200,Nov-21,Comprehensive,Petrol,5,12000,First Owner,Automatic,2021,11.9,1950,1950,20115,44.5
486,2022 Maruti Vitara Brezza VXI AT,Nov-22,Comprehensive,Petrol,5,11000,First Owner,Automatic,2022,18.76,1462,1462,10326,9.99
487,2022 Mercedes-Benz GLS 400d 4MATIC,Dec-22,Comprehensive,Diesel,7,19000,Second Owner,Automatic,2022,2925,3.25864E+12,3.25864E+12,700,1.15
488,2014 Hyundai Grand i10 Sportz,Jun-14,Comprehensive,Petrol,5,74846,Second Owner,Manual,2014,18.9,1197,1197,82,3.1
489,2022 Toyota Glanza S,Nov-22,Comprehensive,Petrol,5,4500,First Owner,Manual,2022,22.35,1197,1197,8850,7.55
490,2012 Hyundai i20 Magna,Feb-12,Comprehensive,Petrol,5,97722,Third Owner,Manual,2012,18.5,1197,1197,805200,2.27
491,2023 Jeep Wrangler Rubicon,Feb-23,Third Party insurance,Petrol,5,9000,First Owner,Automatic,2023,12.1,1998,1998,26530,70
492,2020 Mercedes-Benz AMG GLE 53 Coupe,Feb-20,Third Party,Petrol,5,19000,First Owner,Automatic,2020,8.9,2999,2999,435,78.99
493,2015 Honda City i VTEC CVT VX,Nov-15,Comprehensive,Petrol,5,79683,First Owner,Automatic,2015,18,1497,1497,1173,6.35
494,2022 Maruti Swift Dzire VXI AT,Jul-22,Comprehensive,Petrol,5,26000,First Owner,Automatic,2022,22.61,1197,1197,8850,7.95
495,2016 BMW X1 sDrive 20d xLine,Jul-16,Third Party insurance,Diesel,5,70000,Second Owner,Automatic,2016,20.68,1995,1995,188,15.5
496,2019 Kia Seltos GTX Plus DCT,Nov-19,Comprehensive,Petrol,5,85540,First Owner,Automatic,2019,16.5,1353,1353,13808,13.86
497,2023 Mahindra XUV300 W6 Turbo,2023,Third Party insurance,Petrol,5,10000,First Owner,Manual,2023,1197,12873,12873,230,11.7
498,2019 Maruti Baleno Alpha,Mar-19,Comprehensive,Petrol,5,50170,First Owner,Manual,2019,21.01,1197,1197,8180,6.87
499,2020 BMW X7 xDrive30d DPE Signature,Jul-20,Comprehensive,Diesel,7,44000,First Owner,Automatic,2020,13.38,2993,2993,26150,98.5
500,2022 Mercedes-Benz C-Class Progressive C 220d,Dec-22,Comprehensive,Diesel,5,4000,First Owner,Automatic,2022,12.6,1950,1950,194,56.75
501,2015 Maruti Wagon R VXi BSII,Aug-15,Comprehensive,Petrol,5,37163,Second Owner,Manual,2015,998,671,671,90,3.18
502,2022 MG Hector Sharp CVT,Jul-22,Third Party insurance,Petrol,5,21003,First Owner,Automatic,2022,1451,141,141,250,18.75
503,2018 BMW X3 xDrive 20d Luxury Line,Aug-18,Comprehensive,Diesel,5,49000,First Owner,Automatic,2018,16.55,1995,1995,1877,39
504,2011 Maruti A-Star AT VXI,Jun-11,Comprehensive,Petrol,5,89057,Second Owner,Automatic,2011,16.98,998,998,661,2.26
505,2021 Mercedes-Benz C-Class Progressive C 200,Nov-21,Comprehensive,Petrol,5,12000,First Owner,Automatic,2021,11.9,1950,1950,20115,44.5
506,2022 Maruti Vitara Brezza VXI AT,Nov-22,Comprehensive,Petrol,5,11000,First Owner,Automatic,2022,18.76,1462,1462,10326,9.99
507,2016 Honda City i VTEC VX Option BL,Aug-16,Comprehensive,Petrol,5,72692,First Owner,Manual,2016,17.8,1497,1497,1173,6.85
508,2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,Jul-16,Comprehensive,Petrol,5,47463,Second Owner,Automatic,2016,15.63,1499,1499,1104,6.33
509,2022 Mercedes-Benz GLC 200,Jul-22,Zero Dep,Petrol,5,7651,First Owner,Automatic,2022,12.74,1991,1991,197,61
510,2014 Honda City i VTEC VX,Jun-14,Comprehensive,Petrol,5,69348,First Owner,Manual,2014,17.8,1497,1497,1173,6.19
511,2016 Jaguar XJ 3.0L Portfolio,Jul-16,Comprehensive,Diesel,5,40000,First Owner,Automatic,2016,14.47,2993,2993,30173,32.5
512,2020 Land Rover Range Rover Velar P250 R-Dynamic SE,Nov-20,Comprehensive,Petrol,5,18000,First Owner,Automatic,2020,15.8,1997,1997,247,80
513,2011 Toyota Etios G,Dec-11,Comprehensive,Petrol,5,51710,First Owner,Manual,2011,,,,,2.48
514,2013 Hyundai Santro Xing GLS CNG,2013,Third Party insurance,CNG,5,40000,Second Owner,Manual,2013,11.88,1086,1086,621,2.1
515,2016 Mercedes-Benz GLS 350d 4MATIC,Jul-16,Comprehensive,Diesel,7,84000,First Owner,Automatic,2016,11,2987,2987,258,46.21
516,2013 Maruti Wagon R VXi BSII,Mar-13,Comprehensive,Petrol,5,62411,First Owner,Manual,2013,998,671,671,90,2.9
517,2022 Maruti Brezza Zxi Plus BSVI,Nov-22,Third Party insurance,Petrol,5,22711,First Owner,Manual,2022,19.89,1462,1462,10165,11.35
518,2014 Hyundai Grand i10 Sportz,Oct-14,Comprehensive,Petrol,5,90576,First Owner,Manual,2014,18.9,1197,1197,82,3.37
519,2018 Mercedes-Benz E-Class E 350d,Dec-18,Comprehensive,Diesel,5,44000,First Owner,Automatic,2018,17,2987,2987,2548,44
520,2017 Maruti Swift LXI Option,Aug-17,Comprehensive,Petrol,5,49000,First Owner,Manual,2017,1197,8180,8180,113,4.25
521,2019 Hyundai Venue SX Turbo,Jan-20,Comprehensive,Petrol,5,40678,First Owner,Manual,2019,18.27,998,998,11835,9.24
522,2012 Maruti Wagon R LX BS IV,Jan-12,Comprehensive,Petrol,5,32000,First Owner,Manual,2012,998,6704,6704,90,2.2
523,2020 Maruti Ertiga ZXI Plus,Mar-20,Comprehensive,Petrol,7,27500,First Owner,Manual,2020,19.01,1462,1462,10326,10.5
524,2018 Hyundai i20 Sportz 1.2,Jun-18,Comprehensive,Petrol,5,92539,First Owner,Manual,2018,18.6,1197,1197,8183,5.28
525,2021 BMW 3 Series Gran Limousine 330Li M Sport First Edition,Dec-21,Comprehensive,Petrol,5,21000,First Owner,Automatic,2021,15.3,1998,1998,25479,48
526,2020 Maruti Baleno 1.2 Zeta,Jun-20,Comprehensive,Petrol,5,6000,First Owner,Manual,2020,21.4,1197,1197,831,6.95
527,2016 Honda City i VTEC VX Option BL,Aug-16,Comprehensive,Petrol,5,72692,First Owner,Manual,2016,17.8,1497,1497,1173,6.85
528,2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,Jul-16,Comprehensive,Petrol,5,47463,Second Owner,Automatic,2016,15.63,1499,1499,1104,6.33
529,2022 Mercedes-Benz GLC 200,Jul-22,Zero Dep,Petrol,5,7651,First Owner,Automatic,2022,12.74,1991,1991,197,61
530,2014 Honda City i VTEC VX,Jun-14,Comprehensive,Petrol,5,69348,First Owner,Manual,2014,17.8,1497,1497,1173,6.19
531,2016 Jaguar XJ 3.0L Portfolio,Jul-16,Comprehensive,Diesel,5,40000,First Owner,Automatic,2016,14.47,2993,2993,30173,32.5
532,2020 Land Rover Range Rover Velar P250 R-Dynamic SE,Nov-20,Comprehensive,Petrol,5,18000,First Owner,Automatic,2020,15.8,1997,1997,247,80
533,2011 Toyota Etios G,Dec-11,Comprehensive,Petrol,5,51710,First Owner,Manual,2011,,,,,2.48
534,2013 Hyundai Santro Xing GLS CNG,2013,Third Party insurance,CNG,5,40000,Second Owner,Manual,2013,11.88,1086,1086,621,2.1
535,2016 Mercedes-Benz GLS 350d 4MATIC,Jul-16,Comprehensive,Diesel,7,84000,First Owner,Automatic,2016,11,2987,2987,258,46.21
536,2013 Maruti Wagon R VXi BSII,Mar-13,Comprehensive,Petrol,5,62411,First Owner,Manual,2013,998,671,671,90,2.9
537,2022 Maruti Brezza Zxi Plus BSVI,Nov-22,Third Party insurance,Petrol,5,22711,First Owner,Manual,2022,19.89,1462,1462,10165,11.35
538,2014 Hyundai Grand i10 Sportz,Oct-14,Comprehensive,Petrol,5,90576,First Owner,Manual,2014,18.9,1197,1197,82,3.37
539,2018 Mercedes-Benz E-Class E 350d,Dec-18,Comprehensive,Diesel,5,44000,First Owner,Automatic,2018,17,2987,2987,2548,44
540,2017 Maruti Swift LXI Option,Aug-17,Comprehensive,Petrol,5,49000,First Owner,Manual,2017,1197,8180,8180,113,4.25
541,2019 Hyundai Venue SX Turbo,Jan-20,Comprehensive,Petrol,5,40678,First Owner,Manual,2019,18.27,998,998,11835,9.24
542,2012 Maruti Wagon R LX BS IV,Jan-12,Comprehensive,Petrol,5,32000,First Owner,Manual,2012,998,6704,6704,90,2.2
543,2020 Maruti Ertiga ZXI Plus,Mar-20,Comprehensive,Petrol,7,27500,First Owner,Manual,2020,19.01,1462,1462,10326,10.5
544,2018 Hyundai i20 Sportz 1.2,Jun-18,Comprehensive,Petrol,5,92539,First Owner,Manual,2018,18.6,1197,1197,8183,5.28
545,2021 BMW 3 Series Gran Limousine 330Li M Sport First Edition,Dec-21,Comprehensive,Petrol,5,21000,First Owner,Automatic,2021,15.3,1998,1998,25479,48
546,2020 Maruti Baleno 1.2 Zeta,Jun-20,Comprehensive,Petrol,5,6000,First Owner,Manual,2020,21.4,1197,1197,831,6.95
547,2022 Mahindra XUV700 AX7 AT Luxury Pack,May-22,Comprehensive,Petrol,7,5000,First Owner,Automatic,2022,1999,19713,19713,380,26.5
548,2019 Tata Tiago XZ Plus,Sep-19,Comprehensive,Petrol,5,16570,First Owner,Manual,2019,23.84,1199,1199,8383,5.23
549,2022 Maruti Wagon R VXI,Aug-22,Comprehensive,Petrol,5,11000,First Owner,Manual,2022,21.79,998,998,6705,5.75
550,2017 Honda WR-V i-VTEC VX,Oct-17,Comprehensive,Petrol,5,39791,First Owner,Manual,2017,17.5,1199,1199,887,6.92
551,2017 Mahindra XUV500 W8 2WD,May-17,Comprehensive,Diesel,7,138000,First Owner,Manual,2017,16,2179,2179,140,6.95
552,2023 Mercedes-Benz G G 63 AMG,Aug-23,Comprehensive,Petrol,5,3000,First Owner,Automatic,2023,8.13,3982,3982,57663,4
553,2012 Maruti Swift Dzire LXI,Mar-12,Comprehensive,Petrol,5,94176,First Owner,Manual,2012,1197,8850,8850,113,2.67
554,2023 Porsche Cayenne 3.6 S Platinum Edition,Sep-23,Comprehensive,Petrol,5,11000,First Owner,Automatic,2023,12.5,3604,3604,420,1.47
555,2019 Kia Seltos GTK,Oct-19,Comprehensive,Petrol,5,30000,First Owner,Manual,2019,16.1,1353,1353,138,13.25
556,2021 Volkswagen Taigun 1.5 TSI GT BSVI,Jan-22,Comprehensive,Petrol,5,49594,First Owner,Manual,2021,18.47,1498,1498,14751,13.37
557,2012 Volkswagen Polo Petrol Comfortline 1.2L,Nov-12,Comprehensive,Petrol,5,60000,First Owner,Manual,2012,16.47,1198,1198,739,2.7
558,2015 Honda Brio S MT,Feb-16,Comprehensive,Petrol,5,76441,First Owner,Manual,2015,19.4,1198,1198,868,3.26
559,2014 Mercedes-Benz M-Class ML 350 CDI,Jul-14,Third Party insurance,Diesel,5,75000,Second Owner,Automatic,2014,11.74,2987,2987,2548,17.75
560,2017 Maruti Wagon R VXI AMT,Jul-17,Comprehensive,Petrol,5,53000,First Owner,Automatic,2017,21.79,998,998,6705,3.95
561,2017 Hyundai Creta 1.6 Gamma SX Plus,Sep-17,Comprehensive,Petrol,5,56572,First Owner,Manual,2017,15.29,1591,1591,1213,9.31
562,2018 Maruti Baleno Alpha,Jul-18,Comprehensive,Petrol,5,27210,First Owner,Manual,2018,21.01,1197,1197,8180,6
563,2017 Mercedes-Benz GLE 400 4MATIC,Jul-17,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,9.7,2996,2996,32855,45.75
564,2014 Hyundai i20 Asta 1.2,Nov-14,Comprehensive,Petrol,5,62677,First Owner,Manual,2014,18.6,1197,1197,8183,4.92
565,2023 Maruti Baleno Delta,Jan-23,Comprehensive,Petrol,5,18000,First Owner,Manual,2023,22.35,1197,1197,8850,7.5
566,2019 BMW 5 Series 520d Luxury Line,Oct-19,Comprehensive,Diesel,5,35000,First Owner,Automatic,2019,20.37,1995,1995,18774,45
567,2022 Mahindra XUV700 AX7 AT Luxury Pack,May-22,Comprehensive,Petrol,7,5000,First Owner,Automatic,2022,1999,19713,19713,380,26.5
